n,k,graph_seed,pop,run,budget_s,record
2000,3,7,2048,3,5,847816
2000,3,7,2048,3,10,847778
2000,3,7,2048,3,20,847704
2000,3,7,2048,3,30,847610
2000,3,7,256,1,0.25,848158
2000,3,7,256,1,0.5,848016
2000,3,7,256,1,1,848016
2000,3,7,256,1,2,847884
2000,3,7,256,1,5,847852
2000,3,7,256,1,10,847842
2000,3,7,256,1,20,847799
2000,3,7,256,1,30,847766
2000,3,7,256,2,0.25,848444
2000,3,7,256,2,0.5,848088
2000,3,7,256,2,1,848022
2000,3,7,256,2,2,847911
2000,3,7,256,2,5,847830
2000,3,7,256,2,10,847830
2000,3,7,256,2,20,847764
2000,3,7,256,2,30,847716
2000,3,7,256,3,0.25,848384
2000,3,7,256,3,0.5,848208
2000,3,7,256,3,1,848001
2000,3,7,256,3,2,847880
2000,3,7,256,3,5,847790
2000,3,7,256,3,10,847619
2000,3,7,256,3,20,847619
2000,3,7,256,3,30,847619
2000,3,7,4096,1,0.25,849716
2000,3,7,4096,1,0.5,849040
2000,3,7,4096,1,1,848614
2000,3,7,4096,1,2,848262
2000,3,7,4096,1,5,848014
2000,3,7,4096,1,10,847874
2000,3,7,4096,1,20,847667
2000,3,7,4096,1,30,847667
2000,3,7,4096,2,0.25,849856
2000,3,7,4096,2,0.5,849178
2000,3,7,4096,2,1,848722
2000,3,7,4096,2,2,848361
2000,3,7,4096,2,5,847964
2000,3,7,4096,2,10,847870
2000,3,7,4096,2,20,847698
2000,3,7,4096,2,30,847698
2000,3,7,4096,3,0.25,849706
2000,3,7,4096,3,0.5,849208
2000,3,7,4096,3,1,848691
2000,3,7,4096,3,2,848340
2000,3,7,4096,3,5,848088
2000,3,7,4096,3,10,847810
2000,3,7,4096,3,20,847688
2000,3,7,4096,3,30,847592
2000,3,7,512,1,0.25,848514
2000,3,7,512,1,0.5,848266
2000,3,7,512,1,1,847886
2000,3,7,512,1,2,847867
2000,3,7,512,1,5,847716
2000,3,7,512,1,10,847716
2000,3,7,512,1,20,847716
2000,3,7,512,1,30,847716
2000,3,7,512,2,0.25,848416
2000,3,7,512,2,0.5,848248
2000,3,7,512,2,1,847998
2000,3,7,512,2,2,847803
2000,3,7,512,2,5,847687
2000,3,7,512,2,10,847548
2000,3,7,512,2,20,847548
2000,3,7,512,2,30,847548
2000,3,7,512,3,0.25,848608
2000,3,7,512,3,0.5,848220
2000,3,7,512,3,1,847988
2000,3,7,512,3,2,847864
2000,3,7,512,3,5,847864
2000,3,7,512,3,10,847745
2000,3,7,512,3,20,847728
2000,3,7,512,3,30,847716
2000,3,7,64,1,0.25,848200
2000,3,7,64,1,0.5,848200
2000,3,7,64,1,1,847894
2000,3,7,64,1,2,847894
2000,3,7,64,1,5,847880
2000,3,7,64,1,10,847818
2000,3,7,64,1,20,847804
2000,3,7,64,1,30,847779
2000,3,7,64,2,0.25,848350
2000,3,7,64,2,0.5,848322
2000,3,7,64,2,1,848018
2000,3,7,64,2,2,847836
2000,3,7,64,2,5,847836
2000,3,7,64,2,10,847671
2000,3,7,64,2,20,847671
2000,3,7,64,2,30,847671
2000,3,7,64,3,0.25,848248
2000,3,7,64,3,0.5,847944
2000,3,7,64,3,1,847944
2000,3,7,64,3,2,847944
2000,3,7,64,3,5,847876
2000,3,7,64,3,10,847860
2000,3,7,64,3,20,847860
2000,3,7,64,3,30,847737
2000,3,8,1024,1,0.25,848588
2000,3,8,1024,1,0.5,848464
2000,3,8,1024,1,1,848202
2000,3,8,1024,1,2,847820
2000,3,8,1024,1,5,847682
2000,3,8,1024,1,10,847660
2000,3,8,1024,1,20,847578
2000,3,8,1024,1,30,847578
2000,3,8,1024,2,0.25,848726
2000,3,8,1024,2,0.5,848216
2000,3,8,1024,2,1,848188
2000,3,8,1024,2,2,847916
2000,3,8,1024,2,5,847622
2000,3,8,1024,2,10,847516
2000,3,8,1024,2,20,847516
2000,3,8,1024,2,30,847516
2000,3,8,1024,3,0.25,848710
2000,3,8,1024,3,0.5,848038
2000,3,8,1024,3,1,848009
2000,3,8,1024,3,2,847908
2000,3,8,1024,3,5,847634
2000,3,8,1024,3,10,847604
2000,3,8,1024,3,20,847566
2000,3,8,1024,3,30,847566
2000,3,8,128,1,0.25,848188
2000,3,8,128,1,0.5,848078
2000,3,8,128,1,1,847980
2000,3,8,128,1,2,847870
2000,3,8,128,1,5,847642
2000,3,8,128,1,10,847642
2000,3,8,128,1,20,847544
2000,3,8,128,1,30,847544
2000,3,8,128,2,0.25,848140
2000,3,8,128,2,0.5,847932
2000,3,8,128,2,1,847650
2000,3,8,128,2,2,847650
2000,3,8,128,2,5,847650
2000,3,8,128,2,10,847602
2000,3,8,128,2,20,847602
2000,3,8,128,2,30,847590
2000,3,8,128,3,0.25,847924
2000,3,8,128,3,0.5,847924
2000,3,8,128,3,1,847728
2000,3,8,128,3,2,847728
2000,3,8,128,3,5,847726
2000,3,8,128,3,10,847694
